id_hd,xxxx,yyyy,year,Xnorm
metadc62602,2.446578387908064,1938.1732749612445,1938,81.0
metadc62604,0.5808640957435471,1943.202880617878,1943,32.5
metadc62605,5.6666191089595,1943.6598824421528,1943,3.0
metadc62606,5.702428687133519,1941.1869351094408,1941,81.33333333333333
metadc62608,2.362788386408706,1942.5338261930724,1942,75.0
metadc62610,4.484973376181456,1956.132462366527,1956,99.0
metadc62611,3.2537512178004886,1941.840011909682,1941,100.0
metadc62612,6.256506373439082,1943.603713990584,1943,9.0
metadc62614,8.524348920397674,1944.8179592113745,1944,28.0
metadc62615,8.600302103983882,1945.5718803935015,1945,50.0
metadc62616,4.642275652062863,1945.783411789247,1945,66.0
metadc62617,6.196268249460816,1945.7692948324013,1945,43.0
metadc62618,5.551372842035415,1946.7056765756527,1946,108.0
metadc62619,5.625412953480483,1955.796860914936,1955,59.25
metadc62621,1.1923225734127734,1944.1388743783166,1944,75.0
metadc62622,4.3902857595291485,1944.0379299800381,1944,108.0
metadc62624,9.287156492830436,1954.820255668436,1954,58.75
metadc62625,4.172012953867181,1945.4256402875808,1945,108.0
metadc62626,3.256034279639996,1945.323056015629,1945,108.0
metadc62627,8.143962277237394,1956.6830967874528,1956,96.33333333333333
metadc62628,6.4287972189697244,1946.0895640479046,1946,108.0
metadc62629,4.3762795606792535,1944.7231877585943,1944,108.0
metadc62630,7.452759239972153,1955.7404666224375,1955,93.75
metadc62631,5.6345146306297575,1944.3795943646605,1944,47.833333333333336
metadc62632,9.17441210104874,1956.7932716191433,1956,45.666666666666664
metadc62633,0.5110920513700639,1956.8336826388907,1956,57.0
metadc62634,10.532360376573283,1945.3197049075186,1945,87.0
metadc62636,1.157624887815182,1945.1415190802209,1945,64.5
metadc62638,1.5662757204380258,1942.1710990562594,1942,42.0
metadc62641,8.732977481629096,1943.6882215246146,1943,43.0
metadc62642,8.235936466657776,1942.4298845517444,1942,63.0
metadc62643,5.112863424060497,1946.0061914174532,1946,50.0
metadc62644,8.320443980360775,1954.310548310547,1954,76.5
metadc62645,8.44162855975796,1956.6174216287927,1956,98.4
metadc62646,1.5099396868147659,1943.3225575371912,1943,49.666666666666664
metadc62647,0.7777821952607928,1945.9775372870386,1945,49.0
metadc62648,10.577291510502011,1954.7917209683176,1954,99.0
metadc62649,3.2574795677275588,1945.2943286379168,1945,46.2
metadc62651,2.5240868171841573,1956.9528363853449,1956,92.75
metadc62653,8.64315043115986,1942.9913697333973,1942,100.0
metadc62654,4.544926936848334,1942.166540501448,1942,93.0
metadc62655,2.274249790320872,1943.252983787003,1943,54.0
metadc62658,3.4212012914107834,1943.9495828542135,1943,108.0
metadc62659,2.459845919935919,1945.8180031245874,1945,52.5
metadc62660,4.235419205926272,1942.8288656596192,1942,56.714285714285715
metadc62661,5.391843219077356,1942.4828193307,1942,28.0
metadc62662,5.2274112187626685,1956.6676071424374,1956,95.66666666666667
metadc62666,9.311602151080672,1942.1958422751247,1942,43.0
metadc62667,5.486460125885483,1944.4903795560485,1944,42.333333333333336
metadc62668,10.173051649489164,1946.8648358332648,1946,2.5
metadc62669,6.253421439773947,1943.420563430822,1943,108.0
metadc62672,1.4520583061564225,1943.754875857062,1943,108.0
metadc62673,1.1804244725253548,1944.9442009512588,1944,78.75
metadc62674,8.659350205220267,1956.9355273281421,1956,54.857142857142854
metadc62675,9.58321463484868,1943.088001563903,1943,57.0
metadc62676,2.25710141028565,1945.984350478652,1945,44.333333333333336
metadc62677,2.651697922707162,1956.2549748289582,1956,94.0
metadc62678,6.511744541017887,1944.9291602068572,1944,34.0
metadc62679,0.7423442285306501,1943.672554321764,1943,74.66666666666667
metadc62681,0.3913591753940704,1956.3779170225973,1956,48.333333333333336
metadc62682,4.35678193783347,1946.2395007660848,1946,36.0
metadc62683,0.7393019137967733,1946.514434849859,1946,44.333333333333336
metadc62684,9.458569071045627,1946.4405851531326,1946,73.66666666666667
metadc62685,9.564682283404869,1945.3337041320458,1945,108.0
metadc62686,2.4899021311178964,1956.74097099026,1956,58.75
metadc62687,7.475706682294384,1956.3185846560236,1956,99.0
metadc62688,9.291004567076223,1943.8218808537204,1943,93.0
metadc62690,5.269152595111101,1946.3330016434077,1946,32.0
metadc62692,4.494930531653694,1943.6529125686745,1943,53.5
metadc62695,6.681533195848024,1943.7417673959314,1943,104.0
metadc62698,3.4230269238941133,1945.4608346877508,1945,98.0
metadc62699,0.35354231365810224,1942.9235932637275,1942,100.5
metadc62700,9.096375216256893,1956.7086760259315,1956,79.75
metadc62701,8.245056645696218,1946.8039951534936,1946,61.0
metadc62702,5.329981530794768,1919.9107443119424,1919,13.0
metadc62703,4.789376765038477,1956.1373738428365,1956,92.0
metadc62706,5.527346918313931,1948.4393790689387,1948,64.25
metadc62708,6.1369252850461535,1954.8998392392332,1954,53.0
metadc62709,1.5290103001439856,1956.5451996900808,1956,92.8
metadc62712,1.3400993770621952,1953.2549142510766,1953,9.5
metadc62715,4.184565973756942,1956.3630270653653,1956,57.333333333333336
metadc62717,6.535436988058093,1956.3701366402431,1956,57.666666666666664
metadc62722,7.327437631658679,1950.0916238606128,1950,79.0
metadc62724,9.158968180970305,1954.215254457078,1954,62.8
metadc62729,7.379903214145055,1956.5258854899475,1956,80.0
metadc62733,2.3517224282441704,1956.3701749001316,1956,45.4
metadc62735,5.324247500531988,1951.0943316868938,1951,88.0
metadc62736,2.3054166812596386,1951.5547275824447,1951,58.333333333333336
metadc62740,9.30666149430861,1948.5221512239857,1948,108.0
metadc62741,9.34846626871625,1955.274713284991,1955,59.75
metadc62744,3.0144112881156646,1956.3253057730255,1956,46.166666666666664
metadc62747,6.526543401921742,1948.8396964018382,1948,93.0
metadc62750,6.2503058700842145,1955.3717712715286,1955,50.0
metadc62752,7.622441221339028,1954.674031575112,1954,52.5
metadc62755,7.321487965710727,1954.529329276113,1954,15.0
metadc62756,2.5294025306711228,1948.2650323546054,1948,63.665
metadc62757,2.3784347558139367,1955.6368149401453,1955,48.666666666666664
metadc62758,10.504220384077,1948.7871281175333,1948,55.75
metadc62759,5.225750801728231,1956.8199470232792,1956,45.25
metadc62760,7.292282313828648,1948.1009979029182,1948,59.25
metadc62761,8.183532126963907,1947.308438037156,1947,103.0
metadc62762,3.5646378923642548,1956.4626216485035,1956,67.16666666666667
metadc62763,10.576254997644453,1956.702833806129,1956,55.166666666666664
metadc62764,1.604845039424179,1948.0511349154485,1948,101.0
metadc62767,7.422245670961771,1956.705350823682,1956,29.75
metadc62771,6.569849672118423,1955.8197574893466,1955,99.5
metadc62775,2.4504151419976465,1956.8213197688615,1956,65.0
metadc62781,4.287635844465513,1956.466675274001,1956,88.66666666666667
metadc62784,1.4196596104979609,1956.121684733902,1956,60.2
metadc62791,2.2051171870408126,1949.7173578409186,1949,98.0
metadc62796,2.64211835547495,1956.541040704394,1956,98.4
metadc62797,1.4340727017377288,1956.3013449447824,1956,46.333333333333336
metadc62798,6.266690912124901,1953.1352560023388,1953,41.0
metadc62799,6.3901631030336565,1955.9662781426052,1955,61.0
metadc62802,3.603465477175269,1947.146046119338,1947,88.5
metadc62804,8.296542222995454,1956.7646238462125,1956,64.0
metadc62805,3.124797818184454,1954.31976336886,1954,56.6
metadc62806,5.25614398241751,1949.7739986561842,1949,103.0
metadc62807,1.402920253630878,1956.5627383294784,1956,68.0
metadc62810,2.074602832958542,1947.5998188919546,1947,52.0
metadc62811,2.6171488416129893,1956.8033791731525,1956,57.666666666666664
metadc62813,5.290262223816703,1949.1071253659281,1949,98.0
metadc62814,6.711449297564258,1947.030849130791,1947,90.0
metadc62815,4.345983963194007,1947.163436710452,1947,44.5
metadc62820,0.3021827311978875,1947.4128661325815,1947,46.2
metadc62821,7.745638103392562,1956.005634686332,1956,45.5
metadc62826,4.608050945628954,1947.9607923731867,1947,53.25
